No_fuel,mountain_coal,mountain_naturalgas,mountain_uranium,pacific_coal,pacific_naturalgas,pacific_uranium
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
0.0,4.9817,9.8952,2.1155,5.2547,10.2364,2.1155
